Tree_Code,Out_Of_Plot,Plot,Tag,Species_code,Grid_Square,Logger,Port,PakBus,Installation_Date
C7,FALSE,Control,1439,ACRU,B3,11,1,41,19-Mar-21
C10,FALSE,Control,1387,ACRU,D4,11,3,41,17-Mar-2021; 19-Dec-2024
C11,FALSE,Control,1395,ACRU,F2,11,4,41,17-Mar-21
C16,FALSE,Control,1390,FAGR,E4,11,5,41,28-Apr-22
C18,TRUE,Control,1452,FAGR,NA,11,6,41,17-Mar-21
C3,FALSE,Control,1425,LITU,C5,12,1,42,5-Sep-23
C6,FALSE,Control,1411,LITU,B7,12,2,42,8-Mar-23
C9,TRUE,Control,1456,ACRU,NA,12,3,42,17-Mar-21
C13,FALSE,Control,1407,FAGR,B8,12,4,42,17-Mar-21
C14,FALSE,Control,1412,FAGR,B7,12,5,42,8-Mar-23
C15,FALSE,Control,1432,FAGR,A4,12,6,42,NA
CD14,FALSE,Control,1412,FAGR,B7,12,8,42,7-Apr-21
C1,FALSE,Control,1384,LITU,F5,13,1,43,19-Mar-21
C2,FALSE,Control,1385,LITU,F5,13,2,43,5-Aug-2022; 18-Jun-2025
C4,FALSE,Control,1325,LITU,H4,13,3,43,19-Mar-2021; 16-Apr-2025
C5,FALSE,Control,1330,LITU,I3,13,4,43,10-Jun-22
C17,FALSE,Control,1380,FAGR,F6,13,6,43,7-Jun-22
CD16,FALSE,Control,1390,FAGR,E4,13,10,43,4-Jun-21
F1,FALSE,FW,1578,LITU,H5,21,1,44,8-Mar-23
F4,FALSE,FW,1561,LITU,E2,21,2,44,16-Mar-21
F5,FALSE,FW,1591,LITU,G3,21,3,44,16-Mar-21
F9,FALSE,FW,1592,ACRU,G3,21,4,44,NA
F12,FALSE,FW,1563,ACRU,F2,21,5,44,16-Mar-21
F16,FALSE,FW,1596,FAGR,H4,21,6,44,20-Sep-24
FD5,FALSE,FW,1591,LITU,G3,21,7,44,2-Jun-21
FD17,FALSE,FW,1580,FAGR,I6,21,9,44,2-Jun-21
F20,FALSE,FW,1573,ACRU,I7,21,12,44,3-Jun-2022; 1-Dec-2025
F3,FALSE,FW,1552,LITU,D5,22,1,45,7-Jun-22
F6,FALSE,FW,1551,LITU,D6,22,2,45,16-Mar-2021; 7-Aug-2025
F7,FALSE,FW,1520,ACRU,B5,22,3,45,16-Mar-21
F8,FALSE,FW,1521,ACRU,B4,22,4,45,16-Mar-21
F13,FALSE,FW,1519,FAGR,D6,22,5,45,8-Mar-2023; 22-May-2026
F15,FALSE,FW,1516,FAGR,A6,22,6,45,16-Mar-21
FD7,FALSE,FW,1520,ACRU,B5,22,7,45,1-Jun-21
F19,FALSE,FW,1559,ACRU,D2,22,8,45,3-Jun-22
F2,FALSE,FW,1576,LITU,G6,23,1,46,16-Mar-2021; 29-Feb-2024
F10,FALSE,FW,1546,ACRU,F8,23,2,46,1-Jul-21
F11,FALSE,FW,1548,ACRU,F6,23,3,46,16-Mar-21
F14,FALSE,FW,1543,FAGR,D7,23,4,46,16-Mar-21
F17,FALSE,FW,1580,FAGR,I6,23,5,46,NA
F18,FALSE,FW,1569,FAGR,H8,23,6,46,NA
S2,FALSE,SW,1790,LITU,C5,31,1,47,17-Mar-21
S3,FALSE,SW,1783,LITU,E5,31,2,47,NA
S13,FALSE,SW,1848,FAGR,A2,31,3,47,29-May-24
S15,FALSE,SW,1829,FAGR,E4,31,4,47,17-Mar-21
S16,FALSE,SW,1839,FAGR,C2,31,5,47,7-Aug-25
S17,FALSE,SW,1868,FAGR,D1,31,6,47,NA
SD16,FALSE,SW,1839,FAGR,C2,31,8,47,2-Jun-21
S1,FALSE,SW,1771,LITU,F7,32,1,48,3-Jun-22
S4,FALSE,SW,1781,LITU,E6,32,2,48,17-Mar-21
S7,FALSE,SW,1733,ACRU,D7,32,3,48,17-Mar-21
S8,FALSE,SW,1788,ACRU,C6,32,4,48,17-Mar-21
S11,FALSE,SW,1772,ACRU,F6,32,5,48,17-Mar-21
S18,FALSE,SW,1780,FAGR,E5,32,6,48,17-Mar-21
S20,FALSE,SW,1749,ACRU,B8,32,7,48,8-Mar-23
SD3,FALSE,SW,1783,LITU,E5,32,8,48,2-Jun-21
S5,FALSE,SW,1778,LITU,F5,33,1,49,17-Mar-2021; 26-Mar-2025
S6,FALSE,SW,1773,LITU,G6,33,2,49,4-Mar-22
S9,FALSE,SW,1865,ACRU,F2,33,3,49,NA
S10,FALSE,SW,1775,ACRU,G5,33,4,49,NA
S12,FALSE,SW,1776,ACRU,F4,33,5,49,NA
S14,FALSE,SW,1851,FAGR,I2,33,6,49,1-Jun-23
SD12,FALSE,SW,1776,ACRU,F4,33,10,49,2-Jun-21
S19,FALSE,SW,1835,ACRU,D2,33,12,49,3-Jun-22
C20,NA,Control,1319,ACRU,H5,13,7,43,17-Mar-25
C21,NA,Control,1339,ACRU,G2,13,11,43,29-Apr-26